Year,Game,Genre,Publisher,Original platform(s)[a],Ref.
2007,Call of Duty 4: Modern Warfare,First-person shooter,Activision,"PC, PS3, Xbox 360",[IE]
2007,God of War II,Action-adventure,Sony Computer Entertainment,PS2,[IF]
2007,Halo 3,First-person shooter,Microsoft Game Studios,Xbox 360,[IG]
2007,Mass Effect,Action role-playing,Microsoft Game Studios,Xbox 360,[IH]
2007,Peggle,Puzzle,PopCap Games,PC,[II]
2007,Portal,Puzzle-platformer,Valve,"PC, Xbox 360",[IJ]
2007,Rock Band,Rhythm,MTV Games,"PS3, Xbox 360",[IK]
2007,Super Mario Galaxy,Platform,Nintendo,Wii,[IL]
2007,Team Fortress 2,First-person shooter,Valve,"PC, Xbox 360",[IM]
2007,The World Ends with You,Action role-playing,Square Enix,Nintendo DS,[IN]
2008,Braid,Puzzle-platformer,Microsoft Game Studios,Xbox 360,[IO]
2008,Burnout Paradise,Racing,Electronic Arts,"PC, PS3, Xbox 360",[IP]
2008,Dead Space,Survival horror,Electronic Arts,"PC, PS3, Xbox 360",[IQ]
2008,Fable II,Action role-playing,Microsoft Game Studios,Xbox 360,[IR]
2008,Fallout 3,Action role-playing,Bethesda Softworks,"PC, PS3, Xbox 360",[IS]
2008,Gears of War 2,Third-person shooter,Microsoft Game Studios,Xbox 360,[IT]
2008,Grand Theft Auto IV,Action-adventure,Rockstar Games,"PS3, Xbox 360",[IU]
2008,Left 4 Dead,First-person shooter,Valve,"PC, Xbox 360",[IV]
2008,LittleBigPlanet,Platform,Sony Computer Entertainment,PS3,[IW]
2008,Persona 4,Role-playing,Atlus,PS2,[IX]
2008,Rock Band 2,Rhythm,MTV Games,Xbox 360,[IY]
2008,Spelunky,Platform,Derek Yu,PC,[IZ]
2008,Street Fighter IV,Fighting,Capcom,Arcade,[JA]
2008,Super Smash Bros. Brawl,Fighting,Nintendo,Wii,[JB]
2008,Valkyria Chronicles,Tactical role-playing,Sega,PS3,[JC]
2009,Angry Birds,Puzzle,Rovio Entertainment,"Maemo, iOS",[JD]
2009,Assassin's Creed II,Action-adventure,Ubisoft,"PS3, Xbox 360",[JE]
2009,Batman: Arkham Asylum,Action-adventure,"Eidos Interactive, Warner Bros.","PS3, Xbox 360",[JF]
2009,Bayonetta,Action-adventure,Sega,"PS3, Xbox 360",[JG]
2009,Borderlands,Action role-playing,2K Games,"PC, PS3, Xbox 360",[JH]
2009,Demon's Souls,Action role-playing,Sony Computer Entertainment,PS3,[JI]
2009,Dragon Age: Origins,Role-playing,Electronic Arts,"PC, PS3, Xbox 360",[JJ]
2009,League of Legends,MOBA,Riot Games,PC,[JK]
2009,Left 4 Dead 2,First-person shooter,Valve,"PC, Xbox 360",[JL]
2009,Plants vs. Zombies,Tower defense,PopCap Games,"PC, Mac",[JM]
2009,Uncharted 2: Among Thieves,Action-adventure,Sony Computer Entertainment,PS3,[JN]
2010,Civilization V,Turn-based strategy,2K Games,PC,[JO]
2010,God of War III,Action-adventure,Sony Computer Entertainment,PS3,[JP]
2010,Heavy Rain,Adventure,Sony Computer Entertainment,PS3,[JQ]
2010,Limbo,Puzzle-platformer,Microsoft Game Studios,Xbox 360,[JR]
2010,Mass Effect 2,Action role-playing,Electronic Arts,"PC, Xbox 360",[JS]
2010,Red Dead Redemption,Action-adventure,Rockstar Games,"PS3, Xbox 360",[JT]
2010,Rock Band 3,Rhythm,MTV Games,"Nintendo DS, PS3, Xbox 360, Wii",[JU]
2010,StarCraft II: Wings of Liberty,Real-time strategy,Blizzard Entertainment,"PC, Mac",[JV]
2010,Super Mario Galaxy 2,Platform,Nintendo,Wii,[JW]
2010,Super Meat Boy,Platform,Team Meat,Xbox 360,[JX]
2010,Xenoblade Chronicles,Action role-playing,Nintendo,Wii,[JY]
2011,Batman: Arkham City,Action-adventure,Warner Bros.,"PS3, Xbox 360",[JZ]
2011,Dark Souls,Action role-playing,Namco Bandai,"PS3, Xbox 360",[KA]
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Softworks,"PC, PS3, Xbox 360",[KB]
2011,Minecraft,Sandbox,Mojang,"PC, Mac, Linux",[KC]
2011,Portal 2,Puzzle-platformer,Valve,"PC, PS3, Xbox 360",[KD]
2012,Borderlands 2,Action role-playing,2K Games,"PC, PS3, Xbox 360",[KE]
2012,Dishonored,Stealth,Bethesda Softworks,"PC, PS3, Xbox 360",[KF]
2012,Far Cry 3,First-person shooter,Ubisoft,"PC, PS3, Xbox 360",[KG]
2012,Fire Emblem Awakening,Tactical role-playing,Nintendo,Nintendo 3DS,[KH]
2012,Hotline Miami,Top-down shooter,Devolver Digital,PC,[KI]
2012,Journey,Adventure,Sony Computer Entertainment,PS3,[KJ]
2012,The Walking Dead,Adventure,Telltale Games,"PC, PS3, Xbox 360",[KK]
2012,XCOM: Enemy Unknown,Turn-based strategy,2K Games,"PC, PS3, Xbox 360",[KL]
2013,BioShock Infinite,First-person shooter,2K Games,"PC, PS3, Xbox 360",[KM]
2013,Dota 2,MOBA,Valve,PC,[KN]
2013,Grand Theft Auto V,Action-adventure,Rockstar Games,"PS3, Xbox 360",[KO]
2013,The Last of Us,Action-adventure,Sony Computer Entertainment,PS3,[KP]
2013,"Papers, Please",Puzzle,3909 LLC,"PC, Mac",[KQ]
2014,Alien: Isolation,Survival horror,Sega,"PC, PS3, PS4, Xbox 360, Xbox One",[KR]
2014,Destiny,First-person shooter,Activision,"PS3, PS4, Xbox 360, Xbox One",[KS]
2014,Hearthstone,Digital collectible card,Blizzard Entertainment,"PC, Mac",[KT]
2014,Mario Kart 8,Kart racing,Nintendo,Wii U,[KU]
2014,Shovel Knight,Platform,Yacht Club Games,"Nintendo 3DS, PC, Wii U",[KV]
2015,Bloodborne,Action role-playing,Sony Computer Entertainment,PS4,[KW]
2015,Rocket League,Sports,Psyonix,"PC, PS4",[KX]
2015,Undertale,Role-playing,Toby Fox,"PC, Mac",[KY]
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt,"PC, PS4, Xbox One",[KZ]
2016,Dishonored 2,Stealth,Bethesda Softworks,"PC, PS4, Xbox One",[LA]
2016,Inside,Puzzle-platformer,Playdead,"Xbox One, PC",[LB]
2016,Overwatch,First-person shooter,Blizzard Entertainment,"PC, PS4, Xbox One",[LC]
2016,Persona 5,Role-playing,Atlus,"PS3, PS4",[LD]
2016,Stardew Valley,Farm life simulation,Chucklefish,PC,[LE]
2016,Uncharted 4: A Thief's End,Action-adventure,Sony Computer Entertainment,PS4,[LF]
2017,Fortnite,Third-person shooter,Epic Games,"PC, Mac, PS4, Xbox One",[LG]
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo,"Nintendo Switch, Wii U",[LH]
2017,Super Mario Odyssey,Platform,Nintendo,Nintendo Switch,[LI]
2018,God of War,Action-adventure,Sony Interactive Entertainment,PS4,[LJ]
2018,Red Dead Redemption 2,Action-adventure,Rockstar Games,"PS4, Xbox One",[LK]
2018,Super Smash Bros. Ultimate,Fighting,Nintendo,Nintendo Switch,[LL]
2019,Disco Elysium,Role-playing,ZA/UM,PC,[LM]
2020,Hades,Action role-playing,Supergiant Games,"PC, Mac, Nintendo Switch",[LN]
2022,Elden Ring,Action role-playing,Bandai Namco,"PC, PS4, PS5, Xbox One, Xbox Series X/S",[LO]
